"contr.y"	"contr.x"	"contr"	"pearson"	"spearman"	"dna_dist"	"count.x"	"count.y"
"1"	"Sphingomonas1"	"Sphingomonas3"	"Sphingomonas3_Sphingomonas1"	0.950272580400176	0.978138617811958	0.00413223140495868	10994	278392
"2"	"Sphingomonas1"	"Sphingomonas22"	"Sphingomonas22_Sphingomonas1"	0.779111517133594	0.848787670107163	0.00413223140495868	612	278392
"3"	"Sphingomonas1"	"Sphingomonas19"	"Sphingomonas19_Sphingomonas1"	0.803710518888994	0.865670342118958	0.00413223140495868	683	278392
"4"	"Sphingomonas1"	"Sphingomonas18"	"Sphingomonas18_Sphingomonas1"	0.797589968554887	0.871250605739451	0.00413223140495868	683	278392
"5"	"Sphingomonas1"	"Sphingomonas4"	"Sphingomonas4_Sphingomonas1"	0.934358827600533	0.974279574334119	0.00413223140495868	6140	278392
"6"	"Sphingomonas1"	"Sphingomonas8"	"Sphingomonas8_Sphingomonas1"	0.88348760578038	0.940288242685548	0.00413223140495868	1754	278392
"7"	"Sphingomonas1"	"Sphingomonas6"	"Sphingomonas6_Sphingomonas1"	0.884096611097938	0.936012377628195	0.00413223140495868	1820	278392
"8"	"Sphingomonas1"	"Sphingomonas23"	"Sphingomonas23_Sphingomonas1"	0.781036432138971	0.856906257570571	0.00413223140495868	507	278392
"9"	"Sphingomonas1"	"Sphingomonas25"	"Sphingomonas25_Sphingomonas1"	0.788821050674987	0.864214571740657	0.00413223140495868	497	278392
"10"	"Sphingomonas1"	"Sphingomonas7"	"Sphingomonas7_Sphingomonas1"	0.825087739090598	0.895028601257549	0.00413223140495868	1315	278392
"11"	"Sphingomonas1"	"Sphingomonas13"	"Sphingomonas13_Sphingomonas1"	0.841903431273346	0.901680391355854	0.00413223140495868	1216	278392
"12"	"Sphingomonas1"	"Sphingomonas17"	"Sphingomonas17_Sphingomonas1"	0.805887429387001	0.871524415058381	0.00413223140495868	783	278392
"13"	"Sphingomonas1"	"Sphingomonas26"	"Sphingomonas26_Sphingomonas1"	0.740895274497302	0.83327266563978	0.00413223140495868	483	278392
"14"	"Sphingomonas1"	"Sphingomonas14"	"Sphingomonas14_Sphingomonas1"	0.839772978039685	0.911718773437186	0.00413223140495868	982	278392
"15"	"Sphingomonas1"	"Sphingomonas12"	"Sphingomonas12_Sphingomonas1"	0.841043030409876	0.901138399748485	0.00413223140495868	1293	278392
"16"	"Sphingomonas1"	"Sphingomonas11"	"Sphingomonas11_Sphingomonas1"	0.831327500417985	0.906014424097266	0.00413223140495868	1129	278392
"17"	"Sphingomonas1"	"Sphingomonas27"	"Sphingomonas27_Sphingomonas1"	0.800836451213099	0.872800715885669	0.00413223140495868	475	278392
"18"	"Sphingomonas1"	"Sphingomonas15"	"Sphingomonas15_Sphingomonas1"	0.788862473540436	0.853691996714559	0.00413223140495868	878	278392
"19"	"Sphingomonas2"	"Sphingomonas16"	"Sphingomonas16_Sphingomonas2"	0.80299798121598	0.661313073813502	0.00413223140495868	283	7661
"20"	"Sphingomonas2"	"Sphingomonas20"	"Sphingomonas20_Sphingomonas2"	0.777364002396837	0.657931267594765	0.00413223140495868	224	7661
"21"	"Sphingomonas3"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas3"	0.921081433785214	0.917520990939514	0.00413223140495868	1432	10994
"22"	"Sphingomonas4"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas4"	0.939658269169816	0.92173325436967	0.00413223140495868	1432	6140
"23"	"Sphingomonas4"	"Sphingomonas26"	"Sphingomonas26_Sphingomonas4"	0.829140258120753	0.819982777668139	0.00413223140495868	483	6140
"24"	"Sphingomonas6"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas6"	0.942436729082045	0.9114212048487	0.00413223140495868	1432	1820
"25"	"Sphingomonas7"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas7"	0.899080518251282	0.873985792037549	0.00413223140495868	1432	1315
"26"	"Sphingomonas8"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas8"	0.931180031567726	0.90777145330012	0.00413223140495868	1432	1754
"27"	"Sphingomonas11"	"Sphingomonas10"	"Sphingomonas10_Sphingomonas11"	0.925029500064701	0.896196021218182	0.00413223140495868	1432	1129
"28"	"Sphingomonas10"	"Sphingomonas27"	"Sphingomonas27_Sphingomonas10"	0.886861846743824	0.851414752742718	0.00413223140495868	475	1432
"29"	"Sphingomonas10"	"Sphingomonas12"	"Sphingomonas12_Sphingomonas10"	0.934906920753038	0.891413598343785	0.00413223140495868	1293	1432
